CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,X1_CG_AT,X2_PL_AT,X3_EBIT_AT,X4_PL_PT,altman_z_pp,zona_altman,comp_ok
02.998.611/0001-04,ISA CTEEP,2025,Energia,ITR,2025-06-30 03:00:00,0.12505131789076496,1.0,0.22376873242386416,1.974195684381421,7.656967995852277,Segura,4
02.998.611/0001-04,ISA CTEEP,2025,Energia,ITR,2025-09-30 03:00:00,0.12010809100503353,1.0,0.35024421848147,1.986327542096099,8.487194144389402,Segura,4
03.220.438/0001-73,Equatorial Energia,2015,Energia,ITR,2015-03-31 03:00:00,0.14607568871078522,1.0,0.0936460913046821,1.8852303594229152,6.8270501289042755,Segura,4
03.220.438/0001-73,Equatorial Energia,2015,Energia,ITR,2015-06-30 03:00:00,0.1550235127703917,1.0,0.2969625008559013,1.7458906846808881,8.105727468440358,Segura,4
03.220.438/0001-73,Equatorial Energia,2015,Energia,ITR,2015-09-30 03:00:00,0.16606340539621955,1.0,0.40801083531085497,1.7147084016923548,8.891652574465118,Segura,4
03.220.438/0001-73,Equatorial Energia,2015,Energia,DFP,2015-12-31 02:00:00,0.16104379452953932,1.0,0.506118221941767,1.7098738151789956,9.512929249500399,Segura,4
03.220.438/0001-73,Equatorial Energia,2016,Energia,ITR,2016-03-31 03:00:00,0.15953224136098212,1.0,0.07829204699360205,1.704598290495507,6.62248226414533,Segura,4
03.220.438/0001-73,Equatorial Energia,2016,Energia,ITR,2016-06-30 03:00:00,0.15795804635071747,1.0,0.15461048225705645,1.7011024072756034,7.121344752467509,Segura,4
03.220.438/0001-73,Equatorial Energia,2016,Energia,ITR,2016-09-30 03:00:00,0.15601808489114427,1.0,0.2529781512218067,1.681303072058725,7.748860038758109,Segura,4
03.220.438/0001-73,Equatorial Energia,2016,Energia,DFP,2016-12-31 02:00:00,0.17660420323611487,1.0,0.3494019031584751,1.7156773317348761,8.567965560775486,Segura,4
03.220.438/0001-73,Equatorial Energia,2017,Energia,ITR,2017-03-31 03:00:00,0.17924286793134672,1.0,0.06894715100281729,1.7756949792081325,6.763637796537105,Segura,4
03.220.438/0001-73,Equatorial Energia,2017,Energia,ITR,2017-06-30 03:00:00,0.1510394811651694,1.0,0.1437382553807875,1.735019210614852,7.038510243747998,Segura,4
03.220.438/0001-73,Equatorial Energia,2017,Energia,ITR,2017-09-30 03:00:00,0.1298911634751817,1.0,0.2564970527048645,1.6182632277929934,7.534922615756525,Segura,4
03.220.438/0001-73,Equatorial Energia,2017,Energia,DFP,2017-12-31 02:00:00,0.19554921155971952,1.0,0.3307497427445265,1.7804570366398367,8.634920987546806,Segura,4
03.220.438/0001-73,Equatorial Energia,2018,Energia,ITR,2018-03-31 03:00:00,0.18859322307739781,1.0,0.06428722699422,1.7859865959833972,6.804467634571455,Segura,4
03.220.438/0001-73,Equatorial Energia,2018,Energia,ITR,2018-06-30 03:00:00,0.2039323922084382,1.0,0.13922437147183722,1.8946852461239951,7.522803777608296,Segura,4
03.220.438/0001-73,Equatorial Energia,2018,Energia,ITR,2018-09-30 03:00:00,0.18206825023177675,1.0,0.22588154680730582,1.7468633046194448,7.8064981859159674,Segura,4
03.220.438/0001-73,Equatorial Energia,2018,Energia,DFP,2018-12-31 02:00:00,0.11711677520846471,1.0,0.3468286809893642,1.962716083678235,8.419826669478201,Segura,4
