cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,5.2527
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.0775
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,22.0776
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,17.1121
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.0445
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.3427
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,3.7696
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,22.0776
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.3324
33.256.439/0001-39,Ultrapar,Petróleo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,26.7587
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.0605
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,23.1223
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,18.3032
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.052
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.5527
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,4.7835
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,23.1223
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.4377
34.274.233/0001-02,Vibra Energia,Petróleo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,57.3471
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,2.7451
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,10.3449
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,3.0605
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.1502
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.7728
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,1.9378
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,10.3449
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,4.8305
82.901.000/0001-27,Intelbras,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,4.8771
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,1.9886
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,8.4182
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,1.6451
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.0428
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.0032
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,1.6762
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,8.4182
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,3.9147
81.243.735/0001-48,Positivo,Tecnologia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,4.1975
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,7.4145
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,12.3293
53.113.791/0001-22,Totvs,Tecnologia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,5.4898
